YMD_ID,HH_ID,GETON_CNT
20211205,23,221
20211206,0,34
20211206,5,80
20211206,6,568
20211206,7,1155
20211206,8,951
20211206,9,522
20211206,10,366
20211206,11,430
20211206,12,434
20211206,13,423
20211206,14,529
20211206,15,576
20211206,16,743
20211206,17,845
20211206,18,1063
20211206,19,598
20211206,20,407
20211206,21,454
20211206,22,370
20211206,23,275
20211207,0,69
20211207,1,0
20211207,5,72
20211207,6,465
20211207,7,1069
20211207,8,941
20211207,9,581
20211207,10,407
20211207,11,424
20211207,12,418
20211207,13,471
20211207,14,562
20211207,15,733
20211207,16,744
20211207,17,915
20211207,18,1075
20211207,19,650
20211207,20,510
20211207,21,512
20211207,22,479
20211207,23,304
20211208,0,84
20211208,5,57
20211208,6,504
20211208,7,1119
20211208,8,885
20211208,9,476
20211208,10,429
20211208,11,449
20211208,12,428
20211208,13,489
20211208,14,477
20211208,15,683
20211208,16,791
20211208,17,936
20211208,18,1124
20211208,19,605
20211208,20,503
20211208,21,545
20211208,22,485
20211208,23,304
20211209,0,83
20211209,5,68
20211209,6,463
20211209,7,1024
20211209,8,983
20211209,9,586
20211209,10,426
20211209,11,421
20211209,12,447
20211209,13,444
20211209,14,530
20211209,15,679
20211209,16,742
20211209,17,922
20211209,18,1107
20211209,19,605
20211209,20,490
20211209,21,538
20211209,22,452
20211209,23,324
20211210,0,84
20211210,5,66
20211210,6,414
20211210,7,1026
20211210,8,944
20211210,9,545
20211210,10,411
20211210,11,435
20211210,12,450
20211210,13,474
20211210,14,634
20211210,15,811
20211210,16,901
20211210,17,1237
20211210,18,1268
20211210,19,759
20211210,20,631
20211210,21,459
20211210,22,428
20211210,23,324
20211211,0,88
20211211,5,58
20211211,6,174
20211211,7,230
20211211,8,366
20211211,9,394
20211211,10,439
20211211,11,437
20211211,12,374
20211211,13,426
20211211,14,460
20211211,15,508
20211211,16,514
20211211,17,576
20211211,18,406
20211211,19,350
20211211,20,333
20211211,21,334
20211211,22,316
20211211,23,232
20211212,0,86
20211212,1,0
20211212,5,32
20211212,6,59
20211212,7,148
20211212,8,163
20211212,9,225
20211212,10,250
20211212,11,266
20211212,12,295
20211212,13,337
20211212,14,381
20211212,15,393
20211212,16,468
20211212,17,444
20211212,18,362
20211212,19,422
20211212,20,456
20211212,21,348
20211212,22,246
20211212,23,232
20211214,0,76
20211214,5,55
20211214,6,457
20211214,7,1081
20211214,8,968
20211214,9,537
20211214,10,392
20211214,11,409
20211214,12,405
20211214,13,518
20211214,14,548
20211214,15,664
20211214,16,736
20211214,17,920
20211214,18,1058
20211214,19,577
20211214,20,512
20211214,21,439
20211214,22,429
20211214,23,290
20211215,0,76
20211215,1,0
20211215,5,60
20211215,6,457
20211215,7,1003
20211215,8,839
20211215,9,560
20211215,10,403
20211215,11,402
20211215,12,506
20211215,13,450
20211215,14,575
20211215,15,664
20211215,16,744
20211215,17,932
20211215,18,1095
20211215,19,620
20211215,20,468
20211215,21,490
20211215,22,437
20211215,23,335
20211216,0,95
20211216,1,0
20211216,5,54
20211216,6,437
20211216,7,992
20211216,8,938
20211216,9,497
20211216,10,435
20211216,11,428
20211216,12,490
20211216,13,509
20211216,14,582
20211216,15,653
20211216,16,740
20211216,17,895
20211216,18,1091
20211216,19,592
20211216,20,478
20211216,21,479
20211216,22,516
20211216,23,310
20211217,0,123
20211217,5,71
20211217,6,417
20211217,7,1007
20211217,8,943
20211217,9,545
20211217,10,427
20211217,11,469
20211217,12,523
20211217,13,596
20211217,14,786
20211217,15,794
20211217,16,953
20211217,17,1201
20211217,18,1198
20211217,19,731
20211217,20,586
20211217,21,550
20211217,22,471
20211217,23,312
20211218,0,122
20211218,1,0
20211218,5,40
20211218,6,144
20211218,7,257
20211218,8,328
20211218,9,380
20211218,10,417
20211218,11,438
20211218,12,371
20211218,13,414
20211218,14,468
20211218,15,530
20211218,16,489
20211218,17,478
20211218,18,405
20211218,19,286
20211218,20,356
20211218,21,472
20211218,22,330
20211218,23,167
20211219,0,34
20211219,1,0
20211219,5,23
20211219,6,77
20211219,7,134
20211219,8,215
20211219,9,241
20211219,10,290
20211219,11,342
20211219,12,312
20211219,13,372
20211219,14,429
20211219,15,487
20211219,16,515
20211219,17,494
20211219,18,415
20211219,19,382
20211219,20,492
20211219,21,474
20211219,22,246
20211219,23,149
20211220,0,31
20211220,5,73
20211220,6,515
20211220,7,1095
20211220,8,920
20211220,9,493
20211220,10,462
20211220,11,445
20211220,12,431
20211220,13,449
20211220,14,561
20211220,15,596
20211220,16,714
20211220,17,874
20211220,18,1051
20211220,19,577
20211220,20,482
20211220,21,637
20211220,22,380
20211220,23,178
20211221,0,36
20211221,5,75
20211221,6,429
20211221,7,1026
20211221,8,895
20211221,9,512
20211221,10,434
20211221,11,428
20211221,12,456
20211221,13,517
20211221,14,579
20211221,15,690
20211221,16,767
20211221,17,905
20211221,18,1061
20211221,19,540
20211221,20,539
20211221,21,702
20211221,22,427
20211221,23,185
20211222,0,40
20211222,5,61
20211222,6,437
20211222,7,1044
20211222,8,1013
20211222,9,566
20211222,10,484
20211222,11,473
20211222,12,474
20211222,13,521
20211222,14,638
20211222,15,747
20211222,16,765
20211222,17,948
20211222,18,1135
20211222,19,607
20211222,20,564
20211222,21,785
20211222,22,390
20211222,23,183
20211223,0,35
20211223,1,0
20211223,5,58
20211223,6,429
20211223,7,1010
20211223,8,923
20211223,9,547
20211223,10,399
20211223,11,470
20211223,12,444
20211223,13,469
20211223,14,578
20211223,15,710
20211223,16,786
20211223,17,941
20211223,18,1142
20211223,19,603
20211223,20,610
20211223,21,731
20211223,22,445
20211223,23,184
20211224,0,50
20211224,5,59
20211224,6,380
20211224,7,906
20211224,8,839
20211224,9,573
20211224,10,431
20211224,11,458
20211224,12,519
20211224,13,528
20211224,14,723
20211224,15,831
20211224,16,1006
20211224,17,1123
20211224,18,1162
20211224,19,663
20211224,20,525
20211224,21,555
20211224,22,320
20211224,23,153
20211225,0,37
20211225,5,34
20211225,6,88
20211225,7,156
20211225,8,286
20211225,9,314
20211225,10,411
20211225,11,442
20211225,12,459
20211225,13,447
20211225,14,491
20211225,15,459
20211225,16,446
20211225,17,501
20211225,18,344
20211225,19,328
20211225,20,352
20211225,21,475
20211225,22,285
20211225,23,166
20211226,0,33
20211226,5,17
20211226,6,54
20211226,7,106
20211226,8,145
20211226,9,198
20211226,10,242
20211226,11,260
20211226,12,304
20211226,13,332
20211226,14,380
20211226,15,458
20211226,16,437
20211226,17,435
20211226,18,344
20211226,19,404
20211226,20,373
20211226,21,390
20211226,22,237
20211226,23,136
20211227,0,23
20211227,5,72
20211227,6,446
20211227,7,1020
20211227,8,846
20211227,9,447
20211227,10,362
20211227,11,411
20211227,12,365
20211227,13,421
20211227,14,448
20211227,15,639
20211227,16,639
20211227,17,873
20211227,18,1022
20211227,19,582
20211227,20,475
20211227,21,700
20211227,22,387
20211227,23,170
20211228,0,38
20211228,5,70
20211228,6,394
20211228,7,963
20211228,8,913
20211228,9,538
20211228,10,385
20211228,11,420
20211228,12,399
20211228,13,460
20211228,14,523
20211228,15,620
20211228,16,736
20211228,17,939
20211228,18,1001
20211228,19,562
20211228,20,597
20211228,21,766
20211228,22,445
20211228,23,154
20211229,0,40
20211229,1,0
20211229,5,71
20211229,6,420
20211229,7,975
20211229,8,829
20211229,9,475
20211229,10,387
20211229,11,402
20211229,12,379
20211229,13,485
20211229,14,550
20211229,15,636
20211229,16,787
20211229,17,864
20211229,18,1097
20211229,19,533
20211229,20,568
20211229,21,739
20211229,22,430
20211229,23,186
20211230,0,31
20211230,5,60
20211230,6,433
20211230,7,919
20211230,8,846
20211230,9,456
20211230,10,409
20211230,11,431
20211230,12,465
20211230,13,432
20211230,14,551
20211230,15,712
20211230,16,852
20211230,17,970
20211230,18,1160
20211230,19,531
20211230,20,601
20211230,21,724
20211230,22,424
20211230,23,184
20211231,0,34
20211231,5,51
20211231,6,355
20211231,7,830
20211231,8,799
20211231,9,428
20211231,10,393
20211231,11,447
20211231,12,513
20211231,13,539
20211231,14,789
20211231,15,925
20211231,16,877
20211231,17,1038
20211231,18,1099
20211231,19,586
20211231,20,466
20211231,21,473
20211231,22,298
20211231,23,137
20220101,0,38
20220101,5,18
20220101,6,81
20220101,7,97
20220101,8,156
20220101,9,233
20220101,10,255
20220101,11,285
20220101,12,262
20220101,13,316
20220101,14,322
20220101,15,358
20220101,16,309
20220101,17,375
20220101,18,272
20220101,19,206
20220101,20,275
20220101,21,329
20220101,22,193
20220101,23,99
20220102,0,35
20220102,5,15
20220102,6,53
20220102,7,91
20220102,8,156
20220102,9,201
20220102,10,212
20220102,11,231
20220102,12,301
20220102,13,346
20220102,14,441
20220102,15,396
20220102,16,490
20220102,17,498
20220102,18,405
20220102,19,465
20220102,20,409
20220102,21,433
20220102,22,259
20220102,23,181
20220103,0,29
20220103,5,70
20220103,6,525
20220103,7,1136
20220103,8,852
20220103,9,446
20220103,10,336
20220103,11,336
20220103,12,298
20220103,13,362
20220103,14,458
20220103,15,543
20220103,16,554
20220103,17,759
20220103,18,1088
20220103,19,552
20220103,20,434
20220103,21,601
20220103,22,322
20220103,23,129
20220104,0,21
20220104,5,53
20220104,6,403
20220104,7,1050
20220104,8,779
20220104,9,460
20220104,10,345
20220104,11,371
20220104,12,375
20220104,13,438
20220104,14,510
20220104,15,544
20220104,16,613
20220104,17,821
20220104,18,1034
20220104,19,509
20220104,20,555
20220104,21,700
20220104,22,390
20220104,23,138
20220105,0,25
20220105,5,53
20220105,6,425
20220105,7,999
20220105,8,755
20220105,9,508
